"txt.tituloInstalacao","iPAGARE Checkout - Instalação"
"txt.descricaoWizard", "Descreva aqui a finalidade da ferramenta"
"txt.passos", "Passos"
"txt.confAmbiente", "Configurações de Ambiente"
"txt.confMagento", "Configurações do Magento"
"txt.confJavaScripts", "Javascripts"
"txt.confModulos", "+ Listar módulos instalados"

"txt.corrigir", "Corrigir"
"txt.passo.1", "Passo 1 de 10 - Quais os módulos você vai instalar?"
"txt.passo.2", "Passo 2 de 10 - Diagnóstico do seu ambiente"
"txt.passo.3", "Passo 3 de 10 - Verifique se sua loja está funcionando"
"txt.passo.4", "Passo 4 de 10 - Instalar o OneStepCheckout"
"txt.passo.5", "Passo 5 de 10 - Verificando a instalação do OneStepCheckout"
"txt.passo.6", "Passo 6 de 10 - Verifique novamente se a sua loja está funcionando"
"txt.passo.7", "Passo 7 de 10 - Instalar os módulos do iPAGARE"
"txt.passo.8", "Passo 8 de 10 - Verificando a instalação dos módulos do iPAGARE"
"txt.passo.9", "Passo 9 de 10 - Verifique novamente se a sua loja está funcionando"
"txt.passo.10", "Passo 10 de 10 - Confirmação"

"txt.textoVerificacao1","Adicione produtos no carrinho"
"txt.textoVerificacao2","- O produto é adicionado com sucesso?"
"txt.textoVerificacao3","- Ele vai de fato para o carrinho de compras?"
"txt.textoVerificacao4","- Os produtos anteriores permanecem no carrinho?"
"txt.textoVerificacao5","Importante: você só consiguirá ir ao próximo passo se confirmar que a sua loja passou em todos os testes acima."

"txt.alerta1","Importante: só continue se você realmente corrigiu todos os problemas do seu ambiente"
"txt.alerta2","Antes de prosseguir certifique-se que a sua loja passou em todos os testes"

"txt.texto1Passo6","Encontrou algum problema ? consulte nossa"
"txt.texto1Passo7","Importante: só continue se você realizou a instalação dos módulos do iPAGARE"

"txt.config.0","Desabilitado"
"txt.config.1","Habilitado"
"txt.log.0","Arquivo não gerado"
"txt.log.1","Arquivo gerado"
"txt.config.false","Desabilitado"
"txt.config.true","Habilitado"
"txt.configGerais","Configurações Gerais"

"txt.anterior", "<< Voltar a tela anterior"
"txt.proximo", "Prosseguir >>"

"txt.hint.yes", "A configuração está OK"
"txt.hint.warning", "Esta configuração PODERÁ GERAR problemas no funcionamento dos módulos"
"txt.hint.no", "Esta configuração IMPEDIRÁ o funcionamento dos módulos"